"index","status","confidence","date"
1,OK,89.52%,2025-03-06 19:06:09
2,Defective,48.14%,2025-03-06 19:06:19
3,Defective,56.66%,2025-03-06 19:06:29
4,Defective,55.15%,2025-03-06 19:06:39
5,OK,88.42%,2025-03-06 19:06:49
6,OK,88.82%,2025-03-06 19:06:59
7,OK,90.22%,2025-03-06 19:07:09
8,Defective,54.24%,2025-03-06 19:07:19
9,Defective,77.05%,2025-03-06 19:08:15
10,Defective,78.23%,2025-03-06 19:08:25
11,OK,99.44%,2025-03-06 19:08:34
12,Defective,76.62%,2025-03-06 19:08:35
13,OK,99.44%,2025-03-06 19:08:45
14,Defective,78.88%,2025-03-06 19:08:45
15,OK,99.44%,2025-03-06 19:08:47
16,OK,99.44%,2025-03-06 19:08:50
17,OK,99.44%,2025-03-06 19:08:53
18,Defective,75.82%,2025-03-06 19:08:55
19,Defective,5.13%,2025-03-06 19:12:36
20,Defective,9.00%,2025-03-06 19:12:46
21,OK,99.88%,2025-03-06 19:12:47
22,Defective,28.71%,2025-03-06 19:12:56
23,Defective,41.62%,2025-03-06 19:13:06
24,OK,95.73%,2025-03-06 19:18:04
25,Defective,57.53%,2025-03-06 19:18:14
26,Defective,67.03%,2025-03-06 19:18:24
27,OK,99.09%,2025-03-06 19:18:34
28,OK,97.20%,2025-03-06 19:18:43
29,OK,93.15%,2025-03-06 19:18:45
30,OK,91.70%,2025-03-06 19:18:47
31,OK,96.73%,2025-03-06 19:18:49
32,OK,89.56%,2025-03-06 19:18:51
33,Defective,72.53%,2025-03-06 19:18:53
34,Defective,64.79%,2025-03-06 19:18:55
35,Defective,18.15%,2025-03-06 19:18:57
36,OK,99.35%,2025-03-06 19:18:59
37,OK,97.90%,2025-03-06 19:19:01
38,OK,99.00%,2025-03-06 19:19:03
39,Defective,28.83%,2025-03-06 19:19:05
40,Defective,49.58%,2025-03-06 19:19:07
41,Defective,45.46%,2025-03-06 19:54:59
42,Defective,73.83%,2025-03-06 19:55:01
43,Defective,32.97%,2025-03-06 19:55:09
44,Defective,0.05%,2025-03-06 19:55:09
45,Defective,62.50%,2025-03-06 19:55:19
46,Defective,0.31%,2025-03-06 19:55:22
47,Defective,31.37%,2025-03-06 19:55:29
